단품코드,항만_재고,부평_재고,내부창고_합계
SPRNG37G1610090,16,0,16
SPRNG37G1610095,4,0,4
SPRNG37G1619085,326,0,326
SPRNG37G1619090,210,0,210
SPRNG37G1619095,276,0,276
SPRNG37G16AC085,4,0,4
SPRNG37G16AC090,30,0,30
SPRNG37G16AC095,4,0,4
SPRNG37G1719090,194,0,194
SPRNG37G1731090,20,0,20
SPRNG37G1739085,58,0,58
SPRNG37G1739090,16,0,16
SPRNG37G1785085,48,0,48
SPRNG37G1785090,52,0,52
SPRNG37G2019090,2,0,2
SPRNG37G2219095,12,38,50
SPRNG37G2230085,414,0,414
SPRNG37G2230090,400,0,400
SPRNG37G2230095,338,0,338
SPRNG37G2239085,4,2,6
SPRNG37G2285085,2,30,32
SPRNG37G2285095,2,50,52
SPRNG37G8239999,4,0,4
SPRNG37G8415999,4,6,10
SPRNG37G8419999,2,0,2
SPRNG37G8439999,8,0,8
SPRNG37G9519999,2,0,2
SPRNG37G9619999,4,0,4
SPRNG37G9719090,2,0,2
SPRNG37G9719999,2,0,2
SPRNG37G9810095,12,0,12
SPRNG37G9819085,168,0,168
SPRNG37G98AC095,22,2,24
SPRNG37GY059085,10,0,10
SPRNG37GY059090,36,0,36
SPRNG38KG910150,162,0,162
SPRNG38KG9CB150,46,0,46
SPRPF24KU2AC160,2,0,2
SPRPF37KG210130,2,0,2
SPRPF37KG210140,2,0,2
SPRPF37KG210150,10,0,10
SPRPF37KG210160,52,0,52
SPRPF37KG225120,2,0,2
SPRPF37KG225140,14,0,14
SPRPF37KG225160,88,0,88
SPRPF37KG330130,6,0,6
SPRPF37KG330140,8,0,8
SPRPF37KG330150,30,0,30
SPRPF37KG330160,6,0,6
SPRPF37KG439120,24,0,24
SPRPF37KU110130,8,0,8
SPRPF37KU1AC140,82,0,82
SPRPF37KU1AC150,50,0,50
SPRPF37KU219110,10,0,10
SPRPF37KU259140,126,0,126
SPRPF37KU310120,4,0,4
SPRPF37KU310140,250,0,250
SPRPF37KU310150,210,0,210
SPRPF37KU310160,2,0,2
SPRPF37KU330140,6,0,6
SPRPF37KU359140,14,0,14
SPRPF37KU359150,12,0,12
SPRPF37KU384120,2,2,4
SPRPF37KU384130,8,0,8
SPRPF37KU384150,6,0,6
SPRPF37KU420140,22,0,22
SPRPF37KU420150,46,0,46
SPRPF37KU464140,2,0,2
SPRPF37KU464160,10,0,10
SPRPF37KU620140,2,0,2
SPRPF37KU659120,2,0,2
SPRPF37KU659160,2,0,2
SPRPF37KU710130,298,0,298
SPRPF37KU710150,2,0,2
SPRPF38KU264160,2,0,2
SPRPF38KU310130,22,0,22
SPRPF38KU310150,16,0,16
SPRPF38KU315130,10,0,10
SPRPF38KU315140,2,0,2
SPRPG24C6229090,2,2,4
SPRPG24G5233090,2,8,10
SPRPG24G5233095,2,10,12
SPRPG24G5310090,2,0,2
SPRPG24G5315090,4,0,4
SPRPG24G7064085,2,56,58
SPRPG24G7064095,50,50,100
SPRPG24GY059085,384,0,384
SPRPG24KG264120,2,20,22
SPRPG24KG264130,2,20,22
SPRPG24KU126110,10,0,10
SPRPG24KU151140,2,0,2
SPRPG24KU151150,2,0,2
SPRPG24KU210130,6,0,6
SPRPG24KU210160,2,0,2
SPRPG24KU259120,8,0,8
SPRPG24KU259130,16,0,16
SPRPG24KU259140,8,0,8
SPRPG24KU259150,2,0,2
SPRPG24KU329110,2,0,2
