단품코드,단품명,정상가,매출랭킹,온라인랭킹,출고율,온라인비중,누판율,주판율,주간외형매출,inv_반응과,inv_공홈,inv_이랜드몰,inv_무신사,inv_지그재그,inv_네이버,inv_카카오선물하기,wh_무신사,wh_지그재그,wh_네이버,ord_공홈,ord_이랜드몰,ord_무신사,ord_지그재그,ord_네이버,ord_카카오선물하기
SPABGA9A5119095,"남성 이태리레더 D링 벨트, (19)Black, M",0,9999,9999,0.92,0.7,0.5,0.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPABGA9A5119100,"남성 이태리레더 D링 벨트, (19)Black, L",29900,4925,4925,0.92,0.7,0.5,0.15,59800,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
SPABGA9A5219095,"남성 이태리레더 벨트, (19)Black, M",0,9999,9999,0.92,0.7,0.5,0.15,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPABGA9A5219100,"남성 이태리레더 벨트, (19)Black, L",0,9999,9999,0.92,0.7,0.5,0.15,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
SPABGA9A5319095,,29900,6692,6692,0.92,0.7,0.5,0.15,29900,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
SPABGA9A5319100,"남성 이태리레더 볼륨 벨트, (19)Black, L",0,9999,9999,0.92,0.7,0.5,0.15,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPABGA9A5519999,"여성 이태리레더 벨트, (19)Black, FREE",0,9999,9999,0.92,0.7,0.5,0.15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPABGA9A5522999,"여성 이태리레더 벨트, (22)Dark Brown, F",29900,4926,4926,0.92,0.7,0.5,0.15,59800,7,0,0,0,14,0,0,0,0,0,0,0,1,1,0,0
SPABGA9A9819999,,14037,5124,5124,0.92,0.7,0.5,0.15,56150,0,24,0,1,0,0,0,0,0,0,3,0,-1,2,0,0
SPABGA9A9919999,,14945,4978,4978,0.92,0.7,0.5,0.15,59780,0,32,0,0,0,0,0,0,0,0,2,0,0,2,0,0
SPACG23U0119999,,22985,3885,3885,0.92,0.7,0.5,0.15,91940,0,129,0,0,0,0,0,0,0,0,4,0,0,0,0,0
SPACG23U0215999,"[톰과제리] 볼캡, (15)Gray, FREE",28405,3417,3417,0.92,0.7,0.5,0.15,113620,101,116,0,54,0,0,0,0,0,0,2,0,2,0,0,0
SPACG24A5059999,"피그먼트 볼캡, (59)Navy, FREE",18002,4566,4566,0.92,0.7,0.5,0.15,72010,19,19,0,10,4,0,0,0,0,0,1,0,1,1,1,0
SPACG24A5060999,"피그먼트 볼캡, (60)Charcoal, FREE",14840,5692,5692,0.92,0.7,0.5,0.15,44520,326,30,0,7,4,0,0,0,0,0,2,0,0,1,0,0
SPACG24A5116999,"[ACTIVE] 경량 캠프캡, (16)Light Gra",14180,5714,5714,0.92,0.7,0.5,0.15,42540,0,16,0,6,2,0,0,0,0,0,2,0,0,0,1,0
SPACG24A5119999,"[ACTIVE] 경량 캠프캡, (19)Black, FR",16173,5527,5527,0.92,0.7,0.5,0.15,48520,8,13,0,0,1,0,0,0,0,0,2,0,0,0,1,0
SPACG24A5149999,,15105,6674,6674,0.92,0.7,0.5,0.15,30210,0,17,0,13,9,0,0,0,0,0,1,0,0,0,1,0
SPACG24A5160999,,19900,6031,6031,0.92,0.7,0.5,0.15,39800,0,19,0,7,8,0,0,0,0,0,0,0,2,0,0,0
SPACG24A5185999,,0,9999,9999,0.92,0.7,0.5,0.15,0,0,18,0,8,5,0,0,0,0,0,0,0,0,0,0,0
SPACG24KU110999,"[키즈] 썸머 메쉬 볼캡, (10)White, FREE",25900,6942,6942,0.92,0.7,0.5,0.15,25900,0,3,5,6,0,0,0,0,0,0,0,1,0,0,0,0
