단품코드,단품명,정상가,매출랭킹,온라인랭킹,출고율,온라인비중,누판율,주판율,주간외형매출,inv_반응과,inv_공홈,inv_이랜드몰,inv_무신사,inv_지그재그,inv_네이버,inv_카카오선물하기,inv_amt_공홈,inv_amt_이랜드몰,inv_amt_무신사,inv_amt_지그재그,inv_amt_네이버,inv_amt_카카오선물하기,wh_amt_무신사,wh_amt_지그재그,wh_amt_네이버,wh_무신사,wh_지그재그,wh_네이버,ord_공홈,ord_이랜드몰,ord_무신사,ord_지그재그,ord_네이버,ord_카카오선물하기,daily_공홈,daily_이랜드몰,daily_무신사,daily_지그재그,daily_네이버,daily_카카오선물하기,daily_amt_공홈,daily_amt_이랜드몰,daily_amt_무신사,daily_amt_지그재그,daily_amt_네이버,daily_amt_카카오선물하기,in_qty,cum_qty,wk_qty,_last_date
SPABGA9A5119095,"남성 이태리레더 D링 벨트, (19)",0,9999,9999,0.9933,0.7,0.8,0.0067,0,0,0,0,-1,0,0,0,0,0,-29900,0,0,0,-29900,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,480,4,2026-06-24
SPABGA9A5119100,"남성 이태리레더 D링 벨트, (19)",29900,4907,4907,0.99,0.7,0.8125,0.02,59800,0,0,0,1,0,0,0,0,0,29900,0,0,0,29900,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,325,8,2026-06-24
SPABGA9A5219095,"남성 이태리레더 벨트, (19)Bla",0,9999,9999,0.9967,0.7,0.7633,0.0133,0,0,0,0,2,0,0,0,0,0,59800,0,0,0,29900,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,458,8,2026-06-24
SPABGA9A5219100,"남성 이태리레더 벨트, (19)Bla",0,9999,9999,0.995,0.7,0.7225,0.0125,0,0,0,0,2,0,0,0,0,0,59800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,289,5,2026-06-24
SPABGA9A5319095,"남성 이태리레더 볼륨 벨트, (19)",29900,6728,6728,1.0,0.7,0.7717,0.0233,29900,0,0,0,1,0,0,0,0,0,29900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,463,14,2026-06-24
SPABGA9A5319100,"남성 이태리레더 볼륨 벨트, (19)",0,9999,9999,0.995,0.7,0.77,0.0175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29900,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,308,7,2026-06-24
SPABGA9A5519999,"여성 이태리레더 벨트, (19)Bla",0,9999,9999,0.994,0.7,0.611,0.025,0,0,0,0,1,0,0,0,0,0,29900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,611,25,2026-06-24
SPABGA9A5522999,"여성 이태리레더 벨트, (22)Dar",29900,4932,4932,0.995,0.7,0.396,0.018,59800,0,0,0,0,13,0,0,0,0,0,388700,0,0,0,388700,0,0,13,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,29900,0,0,1000,396,18,2026-06-24
SPABGA9A9819999,"(QR) 웨스턴 벨트, (19)Bla",10475,5700,5700,1.0,0.7,0.3869,0.1457,41900,0,23,0,1,0,0,0,365700,0,15900,0,0,0,0,0,0,0,0,0,4,0,-1,1,0,0,1,0,0,0,0,0,1650,0,0,0,0,0,199,77,29,2026-06-24
SPABGA9A9919999,"(QR) 아일렛 펀칭 벨트, (19)",15936,4235,4235,1.0,0.7,0.17,0.055,79680,0,32,0,0,8,0,0,636800,0,0,159200,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,34,11,2026-06-24
SPACG23U0119999,"[몰티즈] 볼캡, (19)Black,",22876,4760,4760,1.0,0.7,0.1325,0.0132,68630,0,129,0,0,0,0,0,3341100,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,40,4,2026-06-24
SPACG23U0215999,"[톰과제리] 볼캡, (15)Gray, FREE",28405,3413,3413,0.798,0.7,0.256,0.016,113620,101,116,0,54,0,20,0,3468400,0,1614600,0,598000,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,128,8,2026-06-24
SPACG24A5059999,"피그먼트 볼캡, (59)Navy, FREE",16886,3655,3655,0.9525,0.7,0.3075,0.045,101320,19,17,0,10,9,18,0,440300,0,259000,233100,466200,0,0,103600,0,0,4,0,3,0,1,1,1,0,2,0,0,0,0,0,29310,0,0,0,0,0,400,123,18,2026-06-24
SPACG24A5060999,"피그먼트 볼캡, (60)Charcoal, FREE",15080,4420,4420,0.5925,0.7,0.1175,0.0175,75400,326,29,0,7,7,19,0,751100,0,181300,181300,492100,0,0,77700,0,0,3,0,3,0,0,2,0,0,1,0,0,1,0,0,14980,0,0,15900,0,0,800,94,14,2026-06-24
SPACG24A5116999,"[ACTIVE] 경량 캠프캡, (16)Light Gra",14180,5691,5691,0.9933,0.7,0.3267,0.0233,42540,0,16,0,6,2,6,0,318400,0,119400,39800,119400,0,0,39800,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,300,98,7,2026-06-24
SPACG24A5119999,"[ACTIVE] 경량 캠프캡, (19)Black, FR",14310,6832,6832,0.9933,0.7,0.4667,0.0333,28620,8,13,0,0,1,3,0,258700,0,0,19900,59700,0,0,19900,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,140,10,2026-06-24
SPACG24A5149999,"[ACTIVE] 경량 캠프캡, (49",15370,5571,5571,0.9967,0.7,0.1433,0.01,46110,0,17,0,12,9,9,0,338300,0,238800,179100,179100,0,0,179100,0,0,9,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,15900,0,0,0,300,43,3,2026-06-24
SPACG24A5160999,"[ACTIVE] 경량 캠프캡, (60",19900,7398,7398,0.9967,0.7,0.34,0.0367,19900,0,19,0,7,8,10,0,378100,0,139300,159200,199000,0,0,159200,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,102,11,2026-06-24
SPACG24A5185999,"[ACTIVE] 경량 캠프캡, (85",0,9999,9999,0.9967,0.7,0.1633,0.0067,0,0,18,0,8,5,9,0,358200,0,159200,99500,179100,0,0,99500,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,49,2,2026-06-24
