매출랭킹,온라인랭킹,단품코드,단품명,정상가,출고율,누판율,주판율,온라인비중,inv_반응과,inv_공홈,inv_이랜드몰,inv_무신사,inv_지그재그,inv_네이버,inv_카카오선물하기,ord_공홈,ord_이랜드몰,ord_무신사,ord_지그재그,ord_네이버,ord_카카오선물하기,wh_무신사,wh_지그재그,wh_네이버
1,1,SPJJG25G0110090,[UV차단] 라이트 후드 윈드브레이커,39900,0.9987,0.7905,0.0793,0.3,0,234,1,203,366,334,0,14,1,0,115,68,0,,,
2,2,SPJJG37G0210090,[ACTIVE] 라이트 시어 후드 크,39900,0.9851,0.5326,0.12,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
3,3,SPCKG37G01AC090,"[COOL] 썸머 카디건 (SPCK,",29900,0.6694,0.5227,0.152,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,4,SPJJG37G0215090,[ACTIVE] 라이트 시어 후드 크,39900,0.9877,0.9276,0.1156,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5,5,SPJJG37G0210085,[ACTIVE] 라이트 시어 후드 크,39900,0.9972,0.7734,0.1153,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6,6,SPJJG37G0215095,[ACTIVE] 라이트 시어 후드 크,39900,0.9994,0.8482,0.1287,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7,7,SPJJG25G0110085,[UV차단] 라이트 후드 윈드브레이커,39900,0.9984,0.7799,0.0612,0.3,0,304,0,252,590,352,0,17,2,0,83,48,0,,,
8,8,SPCKG37G01AC095,"[COOL] 썸머 카디건 (SPCK,",29900,0.7082,0.5522,0.141,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
9,9,SPAKG37U0450999,"[호빵맨] 도시락 가방, (50)Bl",29900,0.8975,0.8075,0.6438,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
10,10,SPTCG25G1110070,"와이드 카고 팬츠 (나일론), (10",39900,1.0051,0.8178,0.1377,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
11,11,SPJJG25G0110095,[UV차단] 라이트 후드 윈드브레이커,39900,0.9473,0.5984,0.0591,0.3,0,213,0,172,540,377,0,14,0,0,77,60,0,,,
12,12,SPPPG37U2585080,[산리오캐릭터즈] 헬로키티 레오파드,29900,0.8748,0.3674,0.1177,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
13,13,SPRPG38KU910160,[키즈] CONANICUT 루즈핏 반,19900,1.0,0.9917,0.9917,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
14,14,SPCKG37G0119095,[COOL] 썸머 카디건 (SPCKG,29900,0.8128,0.6631,0.1306,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
15,15,SPPPG37U2585075,[산리오캐릭터즈] 헬로키티 레오파드,29900,0.634,0.2832,0.0912,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16,16,SPAKG37U0785999,[마이페이브아카이브] 레오파드 꼬임,39900,0.748,0.326,0.326,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
17,17,SPJJG37G0230090,[ACTIVE] 라이트 시어 후드 크,39900,0.9947,0.6198,0.1171,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
18,18,SPTCG25G1119070,"와이드 카고 팬츠 (나일론), (19",39900,0.806,0.5583,0.1016,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
19,19,SPPPG37U2526075,[산리오캐릭터즈] 헬로키티 레오파드,29900,0.7871,0.2731,0.0923,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20,20,SPJJG37G0225090,[ACTIVE] 라이트 시어 후드 크,39900,0.9949,0.9239,0.1016,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
21,21,SPCKG37G0119090,[COOL] 썸머 카디건 (SPCKG,29900,0.6633,0.445,0.1086,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
22,22,SPJJG37G0210095,[ACTIVE] 라이트 시어 후드 크,39900,0.819,0.2878,0.0582,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
23,23,SPPPG37U2585070,[산리오캐릭터즈] 헬로키티 레오파드,29900,0.8558,0.4357,0.1404,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
24,24,SPJJG25G0151090,[UV차단] 라이트 후드 윈드브레이커,39900,0.9957,0.8641,0.0459,0.3,0,139,0,67,241,91,0,7,0,0,31,34,0,,,
25,25,SPTCG25G1160070,"와이드 카고 팬츠 (나일론), (60",39900,0.9962,0.8485,0.0981,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
26,26,SPYWG37W0110095,"시스루 셔츠, (10)White, L",39900,1.1422,0.9363,0.1631,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
27,27,SPPPG37U0750100,"[호빵맨] 반팔 파자마, L, (50",39900,1.0,0.8808,0.4182,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
28,28,SPCKG37G0119085,[COOL] 썸머 카디건 (SPCKG,29900,0.8095,0.656,0.2857,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
29,29,SPTCG25G1119075,"와이드 카고 팬츠 (나일론), (19",39900,0.9956,0.7477,0.117,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
30,30,SPJJG37U0349095,[마이페이브아카이브] 라이트 패커블,59900,0.6129,0.2355,0.2355,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
31,31,SPCKG24G0139085,"[COOL] 썸머 카디건, (39)I",29900,0.9955,0.9967,0.0771,0.3,0,0,0,1,7,3,0,0,1,0,285,6,0,,,
32,32,SPRLG37U3119105,"[호빵맨] 세균맨 반팔 티셔츠, XL",29900,1.0,0.9088,0.6743,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
33,33,SPPPG37U0750095,"[호빵맨] 반팔 파자마, M, (50",39900,1.0,0.8799,0.4258,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
34,34,SPCKG37G0119100,[COOL] 썸머 카디건 (SPCKG,29900,0.7029,0.4384,0.0979,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
35,35,SPPPG25KU335160,[키즈] (망그러진곰) 망고미 반팔,39900,0.8873,0.5069,0.0543,0.3,0,264,320,5,0,407,28,17,7,0,0,93,0,,,
36,36,SPRLG37U3119100,"[호빵맨] 세균맨 반팔 티셔츠, L,",29900,1.0,0.7285,0.5561,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
